,airport_id,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabase,Type,Source
6012,8217,Kegaska Airport,Kegaska,Canada,ZKG,CTK6,50.1958007812,-61.2658004761,32,-4,A,America/Blanc-Sablon,airport,OurAirports
6017,8223,Trail Airport,Trail,Canada,YZZ,CAD4,49.0555992126,-117.60900116,1427,-8,A,America/Vancouver,airport,OurAirports
6019,8225,Old Arctic Bay Airport,Arctic Bay,Canada,YAB,CJX7,73.0058922479,-85.0325489044,100,-6,A,America/Winnipeg,airport,OurAirports
6026,8235,Sohag International Airport,Sohag,Egypt,HMB,HEMK,26.342778000000003,31.742778,310,2,E,Africa/Cairo,airport,OurAirports
6028,8237,Patos de Minas Airport,Patos de Minas,Brazil,POJ,SNPD,-18.672800064086914,-46.4911994934082,2793,-3,S,America/Sao_Paulo,airport,OurAirports
6029,8238,Bauru - Arealva Airport,Bauru,Brazil,JTC,SJTC,-22.1668591409,-49.0502866745,1949,-3,S,America/Sao_Paulo,airport,OurAirports
6030,8239,Ourilândia do Norte Airport,Ourilandia do Norte,Brazil,OIA,SDOW,-6.763100147250001,-51.0499000549,901,-3,S,America/Belem,airport,OurAirports
6031,8240,Redenção Airport,Redencao,Brazil,RDC,SNDC,-8.033289909362793,-49.97990036010742,670,-3,S,America/Belem,airport,OurAirports
6032,8241,São Félix do Xingu Airport,Sao Felix do Xingu,Brazil,SXX,SNFX,-6.6413,-51.9523,656,-3,S,America/Belem,airport,OurAirports
6033,8242,Bonito Airport,Bointo,Brazil,BYO,SJDB,-21.247298999999998,-56.452498999999996,1180,-4,S,America/Campo_Grande,airport,OurAirports
6034,8243,São Félix do Araguaia Airport,Sao Felix do Araguaia,Brazil,SXO,SWFX,-11.632399559020994,-50.68960189819336,650,-4,S,America/Campo_Grande,airport,OurAirports
6035,8244,Caçador Airport,Cacador,Brazil,CFC,SBCD,-26.78840065,-50.9398002625,3376,-3,S,America/Sao_Paulo,airport,OurAirports
6038,8247,Eirunepé Airport,Eirunepe,Brazil,ERN,SWEI,-6.6395301818847665,-69.87979888916016,412,-4,S,America/Boa_Vista,airport,OurAirports
6046,8256,Senadora Eunice Micheles Airport,Sao Paulo de Olivenca,Brazil,OLC,SDCG,-3.46792950765,-68.9204120636,335,-4,S,America/Boa_Vista,airport,OurAirports
6048,8258,Tapuruquara Airport,Santa Isabel do Rio Negro,Brazil,IRZ,SWTP,-0.3786,-64.9923,223,-4,S,America/Boa_Vista,airport,OurAirports
6049,8259,Oriximiná Airport,Oriximina,Brazil,ORX,SNOX,-1.714079976081848,-55.83620071411133,262,-3,S,America/Belem,airport,OurAirports
6052,8266,Gazipaşa Airport,Alanya,Turkey,GZP,LTGP,36.299217,32.300598,86,3,E,Europe/Istanbul,airport,OurAirports
6087,8314,Hilton Head Airport,Hilton Head Island,United States,HHH,KHXD,32.2243995667,-80.6975021362,19,-5,A,America/New_York,airport,OurAirports
6102,8340,Turukhansk Airport,Turukhansk,Russia,THX,UOTT,65.797203064,87.93530273440001,128,7,N,Asia/Krasnoyarsk,airport,OurAirports
6103,8341,Podkamennaya Tunguska Airport,Bor,Russia,TGP,UNIP,61.589698999999996,89.994003,213,7,N,Asia/Krasnoyarsk,airport,OurAirports
6115,8355,Keewaywin Airport,Keewaywin,Canada,KEW,CPV8,52.9911003113,-92.8364028931,988,-6,A,America/Winnipeg,airport,OurAirports
